column_type,exec_time (sec),comparison_of_exec_time_with_raw_column (%),compress_data (b),uncompress_data (b),ratio compress/uncompress,comparison_of_compression_with_raw_column (%)
rand_seq_Int64_raw,0.00136,100,594262,800000,1.3462075650134115,100
rand_seq_Int64_T64,0.00109,80,377325,800000,2.1201881666997946,157
rand_seq_Int64_Delta,0.00109,80,615307,800000,1.3001639831823788,96
rand_seq_Int64_DoubleDelta,0.00155,113,465094,800000,1.7200823919465742,127
rand_seq_Int64_Gorilla,0.001,73,402372,800000,1.9882099152028472,147
rand_seq_Int32_raw,0.00055,100,401751,400000,0.9956415789879801,100
rand_seq_Int32_T64,0.00091,166,376949,400000,1.0611515085595133,106
rand_seq_Int32_Delta,0.00045,83,401912,400000,0.9952427397042138,99
rand_seq_Int32_DoubleDelta,0.00118,216,464683,400000,0.8608018799913059,86
rand_seq_Int32_Gorilla,0.001,183,401977,400000,0.9950818081631536,99
rand_seq_DateTime_raw,0.00018,100,401751,400000,0.9956415789879801,100
rand_seq_DateTime_T64,0.00045,250,402065,400000,0.9948640145250146,99
rand_seq_DateTime_Delta,0.00036,200,401912,400000,0.9952427397042138,99
rand_seq_DateTime_DoubleDelta,0.00136,749,464683,400000,0.8608018799913059,86
rand_seq_DateTime_Gorilla,0.00109,599,427085,400000,0.9365817109006404,94
rand_float_seq_Float64_raw,0.00082,100,803476,800000,0.995673797350512,100
rand_float_seq_Float64_Delta,0.001,122,803775,800000,0.9953034120245093,99
rand_float_seq_Float64_DoubleDelta,0.002,244,866570,800000,0.9231798931419274,92
rand_float_seq_Float64_Gorilla,0.00109,133,784314,800000,1.019999643000125,102
rand_float_seq_Float64_FPC,0.00182,222,802077,800000,0.9974104730593197,100
rand_float_seq_Float32_raw,0.00036,100,401751,400000,0.9956415789879801,100
rand_float_seq_Float32_Delta,0.00045,125,401912,400000,0.9952427397042138,99
rand_float_seq_Float32_DoubleDelta,0.00109,299,464679,400000,0.8608092898538561,86
rand_float_seq_Float32_Gorilla,0.001,275,407480,400000,0.9816432708353784,98
rand_float_seq_Float32_FPC,0.001,275,442029,400000,0.9049180031174425,90
const_seq_Int64_raw,0.00127,100,402400,800000,1.9880715705765408,100
const_seq_Int64_T64,0.001,78,29291,800000,27.312143661875663,1373
const_seq_Int64_Delta,0.001,78,4037,800000,198.16695566014369,9967
const_seq_Int64_DoubleDelta,0.00127,100,994,800000,804.8289738430584,40482
const_seq_Int64_Gorilla,0.001,78,17932,800000,44.61298237787196,2244
const_seq_Int32_raw,0.00036,100,401720,400000,0.9957184108334163,100
const_seq_Int32_T64,0.00073,200,31320,400000,12.77139208173691,1282
const_seq_Int32_Delta,0.00073,200,2050,400000,195.1219512195122,19596
const_seq_Int32_DoubleDelta,0.001,275,537,400000,744.8789571694599,74808
const_seq_Int32_Gorilla,0.001,275,12072,400000,33.13452617627568,3327
const_seq_DateTime_raw,0.00027,100,401751,400000,0.9956415789879801,100
const_seq_DateTime_T64,0.00082,300,33023,400000,12.112769887654059,1216
const_seq_DateTime_Delta,0.00045,166,2052,400000,194.9317738791423,19578
const_seq_DateTime_DoubleDelta,0.001,366,537,400000,744.8789571694599,74813
const_seq_DateTime_Gorilla,0.001,366,9758,400000,40.99200655872105,4117
const_float_seq_Float64_raw,0.001,100,777986,800000,1.028296139005072,100
const_float_seq_Float64_Delta,0.00036,36,5074,800000,157.66653527788728,15332
const_float_seq_Float64_DoubleDelta,0.001,100,3211,800000,249.14356898162566,24228
const_float_seq_Float64_Gorilla,0.00109,109,585250,800000,1.3669372063220846,132
const_float_seq_Float64_FPC,0.00118,118,28044,800000,28.52660105548424,2774
const_float_seq_Float32_raw,0.00036,100,401751,400000,0.9956415789879801,100
const_float_seq_Float32_Delta,0.00018,50,2472,400000,161.81229773462783,16252
const_float_seq_Float32_DoubleDelta,0.001,275,1494,400000,267.7376171352075,26890
const_float_seq_Float32_Gorilla,0.001,275,170595,400000,2.3447346053518565,235
const_float_seq_Float32_FPC,0.001,275,12767,400000,31.330774653403306,3146
gauss_int_seq_Int64_raw,0.001,100,513104,800000,1.5591381084536469,100
gauss_int_seq_Int64_T64,0.001,100,323359,800000,2.47403041201884,158
gauss_int_seq_Int64_Delta,0.001,100,528603,800000,1.5134231171597587,97
gauss_int_seq_Int64_DoubleDelta,0.00136,136,465057,800000,1.7202192419423856,110
gauss_int_seq_Int64_Gorilla,0.00209,209,591224,800000,1.3531250422851575,86
gauss_int_seq_Int32_raw,0.00027,100,401751,400000,0.9956415789879801,100
gauss_int_seq_Int32_T64,0.001,366,322756,400000,1.2393263022221122,124
gauss_int_seq_Int32_Delta,0.00055,200,401912,400000,0.9952427397042138,99
gauss_int_seq_Int32_DoubleDelta,0.00109,400,464650,400000,0.8608630151727107,86
gauss_int_seq_Int32_Gorilla,0.001,366,426772,400000,0.937268611811459,94
gauss_float_seq_Float64_raw,0.00064,100,803475,800000,0.9956750365599427,100
gauss_float_seq_Float64_Delta,0.001,157,803775,800000,0.9953034120245093,99
gauss_float_seq_Float64_DoubleDelta,0.002,314,866570,800000,0.9231798931419274,92
gauss_float_seq_Float64_Gorilla,0.00118,185,827874,800000,0.9663306251917563,97
gauss_float_seq_Float64_FPC,0.00145,228,753776,800000,1.0613232578378722,106
gauss_float_seq_Float32_raw,0.00018,100,401751,400000,0.9956415789879801,100
gauss_float_seq_Float32_Delta,0.00082,450,401912,400000,0.9952427397042138,99
gauss_float_seq_Float32_DoubleDelta,0.00109,599,464654,400000,0.8608556043851985,86
gauss_float_seq_Float32_Gorilla,0.001,550,426787,400000,0.9372356702523741,94
gauss_float_seq_Float32_FPC,0.00109,599,388337,400000,1.0300331928196387,103
csv_Int32_raw,0.0,100,1926,400000,207.68431983385256,100
